Marca,Modello,Anno,Serie,Carrozzeria,Posti,Lunghezza,Larghezza,Altezza,Passo,Peso a vuoto,Altezza da terra,Volume bagagliaio,Massa totale,Alimentazione,Cilindrata,Cavalli,Cilindri,Diametro cilindro,Corsa pistone,Cambio,Trazione,Velocità massima,Consumo città,Consumo extraurbano,Consumo misto,Accelerazione a 100 km/h,Volume serbatoio
Alfa Romeo,145,1994,Hatchback,Berlina,5,4095,1710,1430,2540,1135,120,1130,1655,Benzina,1370,103,4,82,64,Manuale,Anteriore,185,"10,7","6,3","7,9","11,2",51
Alfa Romeo,145,1994,Hatchback,Berlina,5,4095,1710,1430,2540,1147,120,1130,1670,Benzina,1351,90,4,80,"67,2",Manuale,Anteriore,178,"10,1","6,3","8,2","12,5",51
Alfa Romeo,145,1994,Hatchback,Berlina,5,4095,1710,1430,2540,1147,120,1130,1670,Benzina,1596,103,4,84,72,Manuale,Anteriore,185,"10,7","6,3","8,1",11,51
Alfa Romeo,145,1994,Hatchback,Berlina,5,4095,1710,1430,2540,1165,120,1130,1685,Benzina,1598,120,4,82,75,Manuale,Anteriore,195,"11,1","6,5","8,1","10,2",51
Alfa Romeo,145,1994,Hatchback,Berlina,5,4095,1710,1430,2540,1265,120,1130,1715,Benzina,1712,129,4,87,72,Manuale,Anteriore,200,"11,6","6,7","8,5","9,8",51
Alfa Romeo,145,1994,Hatchback,Berlina,5,4095,1710,1430,2540,1195,120,1130,1715,Benzina,1747,144,4,82,82,Manuale,Anteriore,207,"11,5","6,6","8,4","9,1",51
Alfa Romeo,145,1994,Hatchback,Berlina,5,4095,1710,1430,2540,1210,120,1130,1730,Diesel,1929,90,4,82,90,Manuale,Anteriore,178,"8,8",5,"6,2",12,51
Alfa Romeo,145,1994,Hatchback,Berlina,5,4095,1712,1430,2540,1322,120,1130,1765,Benzina,1970,150,4,83,91,Manuale,Anteriore,210,"11,1","6,4","8,4","8,4",61
Alfa Romeo,145,1994,Hatchback,Berlina,5,4095,1710,1430,2540,1240,120,1130,1760,Benzina,1969,155,4,83,91,Manuale,Anteriore,211,"12,4","6,6","8,4","8,3",51
Alfa Romeo,145,1999,Hatchback,Berlina,5,4061,1712,1431,2540,1135,120,1130,1655,Benzina,1370,103,4,,,Manuale,Anteriore,185,"10,7","6,3",,"11,2",51
Alfa Romeo,145,1999,Hatchback,Berlina,5,4061,1712,1431,2540,1165,120,1130,1685,Benzina,1598,120,4,,,Manuale,Anteriore,175,"11,1","6,5",,"10,2",51
Alfa Romeo,145,1999,Hatchback,Berlina,5,4061,1712,1431,2540,1195,120,1130,1715,Benzina,1747,144,4,,,Manuale,Anteriore,207,"11,5","6,6",,"9,1",51
Alfa Romeo,145,1999,Hatchback,Berlina,5,4061,1712,1431,2540,1210,120,1130,1730,Diesel,1910,105,4,,,Manuale,Anteriore,185,"7,6","4,7",,"10,4",61
Alfa Romeo,145,1999,Hatchback,Berlina,5,4061,1712,1431,2540,1240,120,1130,1760,Benzina,1970,155,4,,,Manuale,Anteriore,211,"12,4","6,6",,"8,3",61
Alfa Romeo,146,1994,Liftback,Liftback,5,4255,1710,1430,2540,1160,120,1225,1680,Benzina,1370,103,4,82,64,Manuale,Anteriore,187,"10,7","6,3","8,5","11,5",51
Alfa Romeo,146,1994,Liftback,Liftback,5,4257,1712,1425,2540,1175,120,1225,1705,Benzina,1351,89,4,80,67,Manuale,Anteriore,179,,,"8,3","12,8",51
Alfa Romeo,146,1994,Liftback,Liftback,5,4257,1712,1425,2540,1175,120,1225,1705,Benzina,1596,103,4,84,72,Manuale,Anteriore,187,,,"8,2","11,5",51
Alfa Romeo,146,1994,Liftback,Liftback,5,4235,1712,1426,2540,1190,120,1225,1710,Benzina,1598,120,4,82,75,Manuale,Anteriore,197,"11,3","6,6","8,2","10,5",51
Alfa Romeo,146,1994,Liftback,Liftback,5,4257,1712,1425,2540,1225,120,1225,1745,Benzina,1712,129,4,87,72,Manuale,Anteriore,202,,,"8,5","10,2",51
Alfa Romeo,146,1994,Liftback,Liftback,5,4255,1710,1430,2540,1215,120,1225,1735,Benzina,1747,144,4,82,82,Manuale,Anteriore,209,"11,5","6,6",,"9,3",51
Alfa Romeo,146,1994,Liftback,Liftback,5,4235,1712,1425,2540,1245,120,1225,1765,Diesel,1910,105,4,82,90,Manuale,Anteriore,187,"7,6","4,7","6,5","10,5",61
Alfa Romeo,146,1994,Liftback,Liftback,5,4257,1712,1425,2540,1245,120,1225,1765,Diesel,1929,90,4,82,90,Manuale,Anteriore,179,"8,8",5,"6,2","12,5",51
Alfa Romeo,146,1994,Liftback,Liftback,5,4257,1712,1425,2540,1225,120,1225,1745,Benzina,1970,150,4,83,91,Manuale,Anteriore,208,,,"8,9","8,5",51
Alfa Romeo,146,1994,Liftback,Liftback,5,4235,1712,1426,2540,1275,120,1225,1795,Benzina,1970,155,4,83,91,Manuale,Anteriore,216,"12,4","6,6","8,9","8,4",61
